id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
1181572191546745023,Ana,40.473121197125934,-3.7237684476162927,$90.00,0,13,2,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
1181611170301117379,Paloma,40.42659,-3.69484,,30,0,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1181632950568328319,Blanca Nora,40.4670732635557,-3.686099943801035,,0,19,2,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
1181645941527483425,Jaime,40.42212,-3.69695,$76.00,12,20,4,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1181651206878811567,Gonzalo,40.4109686,-3.7311127,$109.00,16,40,2,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1180918755333201040,Jorge,40.45165389511181,-3.7008330705768016,$114.00,15,1,2,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1180940252785875497,Ukio,40.444,-3.69792,$170.00,29,1,31,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181020010007390424,Miguel Angel,40.43758753657228,-3.701436527398842,$245.00,10,42,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181043761667933600,Home Club,40.4188266,-3.6999272,$206.00,0,5,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1181046861739649307,Grace,40.43327773721416,-3.711849973550144,$48.00,19,37,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
1181060299778803260,Ukio,40.4345530690536,-3.676361992618555,,0,0,31,2025-03-12,Entire home/apt,Madrid,2025-04-30,00:00:00
1181063579626541821,Carlos,40.45433261722327,-3.7059288956886127,$62.00,14,13,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181076650726306337,Francisco Andres,40.41309,-3.70461,$101.00,2,18,1,2025-03-08,Entire home/apt,Madrid,2025-03-08,00:00:00
1181124454279980679,Alicia,40.39624,-3.69775,$64.00,3,34,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1181654299438293141,Home Club,40.4179621,-3.6987571,$370.00,6,6,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1181668924207094769,Dilcia,40.4178833,-3.702795999999999,$99.00,18,24,1,2025-03-08,Entire home/apt,Madrid,2025-04-29,00:00:00
1181673891771412272,Alberto,40.47906,-3.66775,$87.00,29,16,3,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181676841868527877,Dilcia,40.41696264345756,-3.7036044905581575,$98.00,15,41,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1181698081170713697,Galota,40.4057663167088,-3.7242473067649096,$94.00,15,5,3,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181713662904049954,Jose Alejandro,40.42458866779593,-3.711410442327876,,0,35,1,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1181733657430037491,Ming,40.386390158312345,-3.705278526458749,$30.00,17,15,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
1181733794928641523,Eva Liz,40.40239834357959,-3.711312264204025,$70.00,21,9,2,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1181744696449109992,Dario,40.41169,-3.69538,$160.00,29,0,1,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1181747045259584527,Jorge,40.45078429004804,-3.700723114521336,$106.00,11,1,3,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
1181754812991403949,Jorge,40.45170961202736,-3.702981520640319,$129.00,20,2,1,2025-03-06,Entire home/apt,Madrid,2025-04-29,00:00:00
1181193211825486964,Ridelis,40.3820137,-3.6954031,$196.00,10,2,7,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1183165708227278746,Habyt,40.4103499,-3.7088863,,0,1,30,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
1183173757941498500,Habyt,40.4189071,-3.7014,,0,0,30,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183175427188700547,Tesbaron,40.41092172939955,-3.7124819997634817,$86.00,2,2,6,2025-03-08,Entire home/apt,Madrid,2025-03-08,00:00:00
1183176592954840541,Cristina,40.42599701200593,-3.6875194635417694,,14,1,31,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183205373509658146,Liudmyla,40.42036,-3.70267,$49.00,10,5,1,2025-03-08,Private room,Madrid,2025-03-08,00:00:00
1183259752067178467,Nelly,40.40812,-3.70449,,0,9,1,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183290714643806841,Eugenio,40.4097088,-3.7059328,$143.00,18,31,3,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
1183304567581933814,Arnaldo,40.405703095162885,-3.693805325886618,$108.00,3,25,1,2025-03-06,Entire home/apt,Madrid,2025-04-30,00:00:00
1183318799545467428,Jaime,40.42515,-3.70257,$184.00,10,4,4,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1181798009825115327,Audio,40.42490002688896,-3.705439708004824,$99.00,30,0,1,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1181811679149062940,Flor,40.37770187510243,-3.6678717709943935,,0,0,1,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1181828606487985925,Jose Alejandro,40.42579,-3.71112,,0,28,1,2025-03-10,Private room,Madrid,2025-04-30,00:00:00
1181828752225139576,Emilio,40.40845659871928,-3.699440375703185,$190.00,22,3,1,2025-03-07,Entire home/apt,Madrid,2025-04-30,00:00:00
1181840984335803701,Marta Y Enrique,40.42843581740507,-3.648411323497454,$161.00,18,9,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181861519019293648,Jorge,40.4340663,-3.693107599999999,$292.00,14,35,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1181875355139186983,Rodriguez Natalia,40.4072,-3.69734,,5,3,2,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1181884770826755696,SofÍA,40.42569,-3.67345,$70.00,0,0,30,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1181906251898139604,Santatoledo Real Estate,40.41111362125784,-3.7071532051585008,$218.00,7,6,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1181950585332434491,Alba Ruth,40.38363668418671,-3.7057911710695306,,0,0,7,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1181985182214390416,Renate,40.41657,-3.70346,$65.00,0,2,31,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183338014118226328,Johan,40.40531,-3.70295,$31.00,11,23,3,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1183396331223975853,Bemadrid,40.43466939168722,-3.713578406881186,$96.00,30,1,30,2025-03-11,Entire home/apt,Madrid,2025-04-30,00:00:00
1183441171776931834,Maria Jose,40.3772128,-3.7449542,$77.00,3,5,2,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
