id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
1181739774647804071,Concepcion,41.3771687,2.123005,$134.00,0,0,32,2025-03-05,Entire home/apt,Barcelona,2025-04-29,00:00:00
1181755516193054784,Владимир,41.3722,2.14701,$51.00,27,52,1,2025-03-10,Private room,Barcelona,2025-03-10,00:00:00
1181788138757488494,Blueground,41.3989767,2.122661,$111.00,0,1,30,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1181791994776563273,Ana,41.40303786716147,2.156840840148943,$77.00,3,0,32,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1181826034026942216,Concepcion,41.4112408,2.1697133,$99.00,1,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1182074494483540488,Владимир,41.37276,2.14729,$48.00,18,57,1,2025-03-11,Private room,Barcelona,2025-04-30,00:00:00
1182265887785114229,Vincent,41.370695824355806,2.157838950108913,$66.00,24,12,5,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1182345857361274449,Claudia Yulieth,41.4024363,2.1431613,$34.00,13,36,32,2025-03-05,Private room,Barcelona,2025-03-05,00:00:00
1183928855131397521,Jordi,41.3871484,2.1351746,$152.00,0,18,2,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1183942068681385949,Quim,41.38761,2.15447,$249.00,4,24,4,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1184001691243841910,Jose Alejo,41.39541,2.14515,$127.00,30,2,1,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1184135010077212818,Nick,41.37868383412041,2.1779892593622208,,23,0,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1184191105799589803,Stay U-Nique,41.39295,2.16881,$97.00,0,2,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1182408846229894012,AB Apartment Barcelona,41.40218611875424,2.179621516248263,$190.00,0,4,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1182424751818810664,Aksana,41.37822212917803,2.151253617594989,$70.00,0,12,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1182433170193595343,Ukio,41.3897,2.17845,$123.00,0,0,31,2025-03-10,Entire home/apt,Barcelona,2025-04-30,00:00:00
1182435899792454124,Jordi,41.3871484,2.1351746,$200.00,0,14,2,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1182436030415173496,German,41.40317344555783,2.173281825931354,$258.00,5,29,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1182440657384910039,Ukio,41.39136222082689,2.178526523756428,$134.00,0,1,31,2025-03-08,Entire home/apt,Barcelona,2025-03-08,00:00:00
1182484840287899999,Vando,41.38136908321472,2.181210752533483,$50.00,24,10,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1182492746991618035,Vando,41.38153100779165,2.179129775763279,$50.00,28,10,1,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1184199483890170446,Amina,41.377299727804896,2.176437290572738,$110.00,4,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1184203037878689673,Amina,41.3773403176148,2.1787636195679685,$95.00,0,0,32,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1184243678611069720,Francesco,41.39292515914207,2.188671771240948,$60.00,0,0,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1184600884845914594,Ferran,41.37762139167474,2.1703131875803123,$79.00,17,0,32,2025-03-06,Entire home/apt,Barcelona,2025-04-29,00:00:00
1184621014093877518,Jose Alejo,41.3954047,2.1451492,$180.00,18,2,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1184644557431924039,Jose Alejo,41.39541,2.14515,$124.00,28,3,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1184711783052798325,Jose Alejo,41.3954047,2.1451492,$129.00,19,1,1,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
1184729444473533515,Angel,41.39884167090917,2.159302366699336,$233.00,4,28,4,2025-03-08,Entire home/apt,Barcelona,2025-03-08,00:00:00
1184741728593059629,Jose Alejo,41.3954047,2.1451492,$124.00,28,3,1,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1182507844868979688,Angelika,41.37458,2.14816,$75.00,17,19,3,2025-03-10,Private room,Barcelona,2025-04-30,00:00:00
1182509989301535624,Vando,41.38153,2.18111,$54.00,25,9,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1182517546103209870,Vando,41.38002936859998,2.179004459838114,$62.00,24,13,1,2025-03-05,Private room,Barcelona,2025-03-05,00:00:00
1182518038187985176,Angelika,41.40327492196162,2.171723192833426,$129.00,30,5,2,2025-03-06,Private room,Barcelona,2025-04-30,00:00:00
1182521108546482013,David,41.4022005,2.1525257,$39.00,3,0,32,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1182533952188265580,Vando,41.38041959353425,2.1793215950684344,$53.00,24,13,1,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1182543456349257717,Ukio,41.38985025675986,2.1781038594598834,$128.00,0,0,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1182545967059552277,David,41.40401,2.17686,$34.00,0,1,32,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1182554024658578907,Kristina,41.38923,2.15445,$74.00,5,6,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
